source,date,rating,text,author,clean_text,word_count
Play Store,2026-07-16 02:11:49,1,worst app for ordering food at night time if food is spoiled they give 20 or 30 rs as refund of order 170. fraud,Sohail anfaz,worst app for ordering food at night time if food is spoiled they give 20 or 30 rs as refund of order 170. fraud,24
Play Store,2026-07-16 01:24:20,1,"the worst customer support when contacting for issues to be cleared, been a customer for long time yet i had to face such an issue with them, so pathetic and arrogant customer support",Alvin Joseph,"the worst customer support when contacting for issues to be cleared, been a customer for long time yet i had to face such an issue with them, so pathetic and arrogant customer support",33
Play Store,2026-07-16 01:21:34,2,Offers are not good compared to other ordering applications,Atif Jaffari,offers are not good compared to other ordering applications,9
Play Store,2026-07-16 01:18:57,1,Customer service is terrible. Update 2 year later: This app is still terrible. And doesn't really care about the customer.,Bharat,customer service is terrible. update 2 year later: this app is still terrible. and doesn't really care about the customer.,20
Play Store,2026-07-16 01:10:25,1,today I am cancel the order within 2 mins after the place order and they charge pe hole order amount as cancellation fee. Not 1 rupee amount they refund me.,UBALE VARUNRAJE,today i am cancel the order within 2 mins after the place order and they charge pe hole order amount as cancellation fee. not 1 rupee amount they refund me.,30
Play Store,2026-07-16 00:49:26,1,3rd call facility 3rd class service 3rd class costume care,Nitin Dhiman,3rd call facility 3rd class service 3rd class costume care,10
Play Store,2026-07-16 00:47:35,1,"Place my order delayed by one hour and thirty minutes.The rider was not responding. Restaurant, claiming that already, given the order to the rider slow response from the swiggy, help. That was automatically cancelled after 1 hr 30 mim . Complete waste of time",Stuti Rai,"place my order delayed by one hour and thirty minutes.the rider was not responding. restaurant, claiming that already, given the order to the rider slow response from the swiggy, help. that was automatically cancelled after 1 hr 30 mim . complete waste of time",44
Play Store,2026-07-16 00:37:35,1,very bad experience . the service keeps getting bad . its tough to get refund for the orders which were not delivered from your side .,Ankur Surana,very bad experience . the service keeps getting bad . its tough to get refund for the orders which were not delivered from your side .,26
Play Store,2026-07-16 00:34:20,1,"Disgusting service . few restaurants take orders without notifying about unavailable items previously . Like today , New Raj Cabin . And then told me to cancel order and there is no refund . Neither did I get my food nor any single money. The whole money was cut without my fault . And the app is not even giving call option or a proper chat for help . bot is answering in 2/3 lines . No solution. Almost 500 rs is gone in few minutes without my fault . Disgusting app and restaurant .",T. Jannat,"disgusting service . few restaurants take orders without notifying about unavailable items previously . like today , new raj cabin . and then told me to cancel order and there is no refund . neither did i get my food nor any single money. the whole money was cut without my fault . and the app is not even giving call option or a proper chat for help . bot is answering in 2/3 lines . no solution. almost 500 rs is gone in few minutes without my fault . disgusting app and restaurant .",95
Play Store,2026-07-16 00:30:51,1,worst experiance in food delivery to late and no responce from care and get payment for fast delivery and getting too late and getting charged for fast delivery,Sathwik reddy,worst experiance in food delivery to late and no responce from care and get payment for fast delivery and getting too late and getting charged for fast delivery,28
Play Store,2026-07-16 00:10:07,1,very bed and don't try from Swiggy app plz another app,Devendra Dhaked,very bed and don't try from swiggy app plz another app,11
Play Store,2026-07-16 00:07:46,1,"swiggy doesn't even check the restaurants. in the last 5 orders, all I received was contaminated food mixed with human hair, worms, insects etc. I reached out to customer support only to get half resolution. they don't even give full refunds on contaminated foods. ever since I saw these contaminations esp from 99 store, I stopped ordering food on SSwiggy and uninstalled the app completely.",Alice Grace,"swiggy doesn't even check the restaurants. in the last 5 orders, all i received was contaminated food mixed with human hair, worms, insects etc. i reached out to customer support only to get half resolution. they don't even give full refunds on contaminated foods. ever since i saw these contaminations esp from 99 store, i stopped ordering food on sswiggy and uninstalled the app completely.",65
Play Store,2026-07-15 23:49:59,1,worst customer care service & delivery partner. worst experience uninstall the app don't order again,Mani Kandan,worst customer care service & delivery partner. worst experience uninstall the app don't order again,15
Play Store,2026-07-15 23:47:13,1,The very worst experience with Swiggy was that I didn't expect this type of service from them i ordered food i got it after 2 hours and the whole food was cold,Rahim,the very worst experience with swiggy was that i didn't expect this type of service from them i ordered food i got it after 2 hours and the whole food was cold,32
Play Store,2026-07-15 23:45:43,1,swiggy didn't added the 1rupee product I've tried to add it,Sheela patel,swiggy didn't added the 1rupee product i've tried to add it,11
Play Store,2026-07-15 23:41:02,1,My order was canceled after 1 hour and no refund has been received,Danish shamsi,my order was canceled after 1 hour and no refund has been received,13
Play Store,2026-07-15 23:35:12,1,Worst delivery application!! Please do not use this and better go for Zomato.,Pranith Nair,worst delivery application!! please do not use this and better go for zomato.,13
Play Store,2026-07-15 23:27:14,1,very bad experience with customer support they attach and AI assistant is worst,Adarsh Shukla,very bad experience with customer support they attach and ai assistant is worst,13
Play Store,2026-07-15 23:23:36,1,did not deliver orders. disappointed and frustrated. AI Chatbot is a mess....Disgraceful,Vivek Ranganathan,did not deliver orders. disappointed and frustrated. ai chatbot is a mess....disgraceful,12
Play Store,2026-07-15 23:18:18,1,bill amount 606 but I paid 631 why extra money,Vamshi Kalyan SAKA,bill amount 606 but i paid 631 why extra money,10
Play Store,2026-07-15 23:16:50,1,Fraudulent ways of working that is what synonyms for your brand. I kept requesting for canceling the order because your app auto selected wrong address but your help section played delayed tactics and did not let me cancel within stipulated time. Later no offer for refund was made amd food was delivered where I was not even present. Several times we have received non veg time but today was height of insensitive action. i had guest at home and your help section kept pressing for negotiation.,sulabh misra,fraudulent ways of working that is what synonyms for your brand. i kept requesting for canceling the order because your app auto selected wrong address but your help section played delayed tactics and did not let me cancel within stipulated time. later no offer for refund was made amd food was delivered where i was not even present. several times we have received non veg time but today was height of insensitive action. i had guest at home and your help section kept pressing for negotiation.,86
Play Store,2026-07-15 23:16:10,1,"kindly don't rely on Swiggy for ordering food from train. have a back up plan. we have placed order at 4PM for delivery at 6:30 PM and train was also delayed for one hour. but food is not delivered. we have tired contacting customer support for help 3 times, each time they each different information and lastly they said restaurant didn't accept the order at 9:55 PM. we are not finding any food in train or stations and hungry. atleast we should have been informed timely so that we plan a backup.",rajitha pullagura,"kindly don't rely on swiggy for ordering food from train. have a back up plan. we have placed order at 4pm for delivery at 6:30 pm and train was also delayed for one hour. but food is not delivered. we have tired contacting customer support for help 3 times, each time they each different information and lastly they said restaurant didn't accept the order at 9:55 pm. we are not finding any food in train or stations and hungry. atleast we should have been informed timely so that we plan a backup.",92
Play Store,2026-07-15 23:11:12,1,Item is very oily and it's not shawarma. I ordered special chicken shawarma but delivered egg rolls . I need refund. Disgusting experience.,Umme Farhana Sultana,item is very oily and it's not shawarma. i ordered special chicken shawarma but delivered egg rolls . i need refund. disgusting experience.,23
Play Store,2026-07-15 23:06:59,1,HP gas cylinder not showing up yet in bangalore Sarjapur 562125.,Jatin Dadhaniya,hp gas cylinder not showing up yet in bangalore sarjapur 562125.,11
Play Store,2026-07-15 23:06:13,1,Worst Experience with your delivery partner and your team no response no delivery . delivery Guy has eaten my order.,Varsha James,worst experience with your delivery partner and your team no response no delivery . delivery guy has eaten my order.,20
Play Store,2026-07-15 23:01:03,1,"scammers who removed the cancel order option, and now are forcing to converse with a chat bot that doesn't process cancellations. even though I immediately tried cancelling. zomato used to be s}{it but now you're all in the same boat. shame you can auto reply to my review but your stupidass bot can't even process a cancellation quickly.",Shraavan Acharya,"scammers who removed the cancel order option, and now are forcing to converse with a chat bot that doesn't process cancellations. even though i immediately tried cancelling. zomato used to be s}{it but now you're all in the same boat. shame you can auto reply to my review but your stupidass bot can't even process a cancellation quickly.",58
Play Store,2026-07-15 22:54:21,1,Absolutely horrible customer service experience. A useless bot that provides no help or solution!,Balasundaran Rajendran,absolutely horrible customer service experience. a useless bot that provides no help or solution!,14
Play Store,2026-07-15 22:54:15,1,pathetic customer service. wrong order sent. only AI response no actually human being to resolve the problem,Vikas yadav,pathetic customer service. wrong order sent. only ai response no actually human being to resolve the problem,17
Play Store,2026-07-15 22:51:31,1,Sent broken Waffle Cone and refused to refund. Swiggy doesn't care about its customers.,Pulkit Trehan,sent broken waffle cone and refused to refund. swiggy doesn't care about its customers.,14
Play Store,2026-07-15 22:50:47,1,Disgusting!! They charge more than the item price for delivery.,Arpan Bhattacharya,disgusting!! they charge more than the item price for delivery.,10
Play Store,2026-07-15 22:38:03,5,ok solanki krk kg ch sc lb gl,Md Tarique,ok solanki krk kg ch sc lb gl,8
Play Store,2026-07-15 22:36:35,1,I order food in train but after 5 hours still not received delivere the food then I received the call your order is cancelled then y accept the order,Najat Pestcontrol,i order food in train but after 5 hours still not received delivere the food then i received the call your order is cancelled then y accept the order,29
Play Store,2026-07-15 22:33:56,5,"I just started using this app , I hope it will give me a better result",Master Zaid,"i just started using this app , i hope it will give me a better result",16
Play Store,2026-07-15 22:30:27,1,worse experience with this app... most of the time received damage food or spoiled food because of rides... there behaviour is very bad... and they have worst supporting team... never gives solution to any thing... never accept there faults also... most of the time supporting agent is not available to take calls or have a chat with the issue... delivery time will show 40 to 45min but every time I am getting it after 2hrs or almost 2hrs,swaroop maity,worse experience with this app... most of the time received damage food or spoiled food because of rides... there behaviour is very bad... and they have worst supporting team... never gives solution to any thing... never accept there faults also... most of the time supporting agent is not available to take calls or have a chat with the issue... delivery time will show 40 to 45min but every time i am getting it after 2hrs or almost 2hrs,78
Play Store,2026-07-15 22:25:05,1,poor sarvice 1.5km delivery 1hour poor sarvice frod,Kiran Jaiswal,poor sarvice 1.5km delivery 1hour poor sarvice frod,8
Play Store,2026-07-15 22:21:16,1,"worst app to order food, do not provide the food in the estimated time nor is user friendly, you can't even understand what the hell goes on the app while food is being delivered. zomato is much better use that",Enaya Syed,"worst app to order food, do not provide the food in the estimated time nor is user friendly, you can't even understand what the hell goes on the app while food is being delivered. zomato is much better use that",40
Play Store,2026-07-15 22:14:58,2,"Swiggy doesnt provide actual customer support and only provides ai enabled agent responses, if they want to improve their app they should have actual agents respond to the issue and even sort it out . I faced the same issue they just said to approach them from the email and will reply in 6-8 working hours but they are just draaging the process unnecessarily so that no refund will have to be initiated as the restaurant was fraud but they didn't take any action or provide any refund",Pashan’s World,"swiggy doesnt provide actual customer support and only provides ai enabled agent responses, if they want to improve their app they should have actual agents respond to the issue and even sort it out . i faced the same issue they just said to approach them from the email and will reply in 6-8 working hours but they are just draaging the process unnecessarily so that no refund will have to be initiated as the restaurant was fraud but they didn't take any action or provide any refund",88
Play Store,2026-07-15 22:13:40,1,I was worst app always shows the wrong timings for delivery last 70 mins it's shows the order will deliver 5mins and 6mins,Raju Naidu,i was worst app always shows the wrong timings for delivery last 70 mins it's shows the order will deliver 5mins and 6mins,23
Play Store,2026-07-15 22:12:01,1,"One Blck is a scam. no priority support nothing, you get to talk to an AI only. Took more than 20 mins to finally connect to a human after trying to make the stupid bot understand that the delivery person isn't moving.",Gokul,"one blck is a scam. no priority support nothing, you get to talk to an ai only. took more than 20 mins to finally connect to a human after trying to make the stupid bot understand that the delivery person isn't moving.",42
Play Store,2026-07-15 22:10:19,1,"Assistance is dumb AI ,no support for any issue, delivery partner fraud",Rohini Nidhi,"assistance is dumb ai ,no support for any issue, delivery partner fraud",12
Play Store,2026-07-15 22:08:19,1,"Very disappointed with the service. I ordered a 'Paneer Tikka Garlic Bread' but received an 'Onion and Corn' one instead. It's frustrating when the order is completely wrong. I've already raised a complaint in the app, but the overall experience was poor. Poor quality control",Airbus & Boeing,"very disappointed with the service. i ordered a 'paneer tikka garlic bread' but received an 'onion and corn' one instead. it's frustrating when the order is completely wrong. i've already raised a complaint in the app, but the overall experience was poor. poor quality control",45
Play Store,2026-07-15 22:06:05,1,"This is very dirty, he always brings cold food and no matter how many times you order, it gets cancelled automatically and you waste two to four hours unnecessarily.",Raj Kumar,"this is very dirty, he always brings cold food and no matter how many times you order, it gets cancelled automatically and you waste two to four hours unnecessarily.",29
Play Store,2026-07-15 22:02:36,1,Terrible experience with pathetic service. I mistakenly ordered 2 same items and requested to return one of them to which they blatantly denied. Beggars. Please don't use this app.,Ayush,terrible experience with pathetic service. i mistakenly ordered 2 same items and requested to return one of them to which they blatantly denied. beggars. please don't use this app.,29
Play Store,2026-07-15 22:01:39,1,"this is worst app to order food I had faced multiple time issues with ordering food with this app. their cc is worst they don't bother to help even if wrong food or uncooked, unhygienic food is delivered and they even reply with such comment on emails, I had shared clear pic of wrong uncooked item delivery. so if you don't want to waste money stop using Swiggy. better use zomato, their cc is much reliable.",Uma Bhowmik,"this is worst app to order food i had faced multiple time issues with ordering food with this app. their cc is worst they don't bother to help even if wrong food or uncooked, unhygienic food is delivered and they even reply with such comment on emails, i had shared clear pic of wrong uncooked item delivery. so if you don't want to waste money stop using swiggy. better use zomato, their cc is much reliable.",76
